OBJECT_ID,VID,SEQUENCE_DTTM,LAT,LON,SPEED_OVER_GROUND,COURSE_OVER_GROUND
1,100021,14:00:17,37.027885,-76.060134,71,3355
2,100022,14:00:58,36.950746,-76.058415,3,3192
3,100022,14:00:59,36.950746,-76.058415,3,3192
4,100021,14:01:17,37.02937,-76.061789,72,3129
5,100021,14:01:47,37.030095,-76.062649,72,3252
6,100021,14:02:16,37.031001,-76.063149,71,3369
7,100023,14:02:31,36.94844,-76.080097,5,1443
8,100021,14:03:17,37.032883,-76.063964,70,3339
9,100021,14:03:47,37.033518,-76.064614,38,3153
10,100022,14:03:58,36.950988,-76.058622,3,3287
11,100022,14:03:59,36.950988,-76.058622,3,3287
12,100021,14:04:17,37.033828,-76.065105,27,3117
13,100021,14:04:46,37.033965,-76.065307,3,2799
14,100021,14:05:17,37.03397,-76.065349,4,2637
15,100023,14:05:31,36.948093,-76.079945,5,1497
16,100023,14:05:32,36.948093,-76.079945,5,1497
17,100021,14:05:46,37.03397,-76.065369,0,2738
18,100021,14:05:47,37.03397,-76.065369,0,2738
19,100021,14:06:47,37.033963,-76.06535,3,800
20,100022,14:06:58,36.951241,-76.058732,3,3360
21,100022,14:06:59,36.951241,-76.058732,3,3360
22,100023,14:08:33,36.947801,-76.079809,4,1264
23,100023,14:08:34,36.947801,-76.079809,4,1264
24,100022,14:09:59,36.951415,-76.05881,2,3398
25,100021,14:10:14,37.034396,-76.065555,49,3284
26,100021,14:10:45,37.035098,-76.06591,56,3401
27,100023,14:11:33,36.947576,-76.079704,4,1422
28,100021,14:11:44,37.036781,-76.065624,68,445
29,100021,14:12:44,37.03821,-76.063707,85,493
30,100021,14:12:45,37.03821,-76.063707,85,493
31,100022,14:12:58,36.951561,-76.058889,2,3370
32,100022,14:12:59,36.951561,-76.058889,2,3370
33,100021,14:13:14,37.039055,-76.06261,89,439
34,100021,14:13:45,37.039996,-76.061645,87,355
35,100021,14:14:15,37.040983,-76.0608,86,323
36,100023,14:14:31,36.947338,-76.079649,6,1694
37,100021,14:14:44,37.041953,-76.05995,86,359
38,100023,14:15:27,36.948021,-76.080445,64,3151
39,100021,14:15:45,37.043806,-76.058084,88,402
40,100022,14:15:58,36.951685,-76.058939,1,3352
41,100022,14:15:59,36.951685,-76.058939,1,3352
42,100023,14:16:02,36.948701,-76.08114,34,3225
43,100021,14:16:15,37.044788,-76.057207,88,299
44,100023,14:16:27,36.948916,-76.081332,13,3278
45,100021,14:16:45,37.045881,-76.056505,86,233
46,100023,14:16:57,36.949028,-76.081417,11,3083
47,100021,14:17:45,37.047928,-76.056224,57,3451
48,100023,14:18:27,36.949121,-76.081502,1,2893
49,100021,14:18:45,37.04896,-76.056717,28,3217
50,100022,14:18:58,36.951753,-76.058974,1,3328
51,100023,14:18:58,36.949123,-76.081517,2,2243
52,100022,14:18:59,36.951753,-76.058974,1,3328
53,100021,14:19:15,37.049048,-76.057095,24,3110
54,100023,14:19:28,36.949116,-76.081535,1,2886
55,100021,14:19:45,37.048755,-76.057255,7,1974
